ID,SMILES,M-fortuitum,M-kansasii,M-bovis,M-tuberculosis-MABA,M-tuberculosis-LORA,M-smegmatis,M-abcessus,M-tuberculosis-BACTEC,task_concatenada
14139,O=C(NN=Cc1ccc([N+](=O)[O-])o1)N1CCN(C2=NS(=O)(=O)c3ccccc3N2c2ccccc2)CC1,,,,,,,,,0.0
4148,CCOC(=O)Nc1cc(NC(C)CCCN(CC)CC)c2nc(-c3ccccc3)c(-c3ccccc3)nc2n1,,,,1.0,,,,,
5908,O=C(Cn1cncn1)N1CCN(Cc2ccc(Cl)cc2Cl)CC1,,,,0.0,,,,,
5626,CCCCCCCCc1c2[n+](cc3c(O)c(OC)ccc13)CCc1cc3c(cc1-2)OCO3,,,,1.0,,,,,
2609,O=c1[nH]c2c(Cl)ccc(Cl)c2c(O)c1N=Nc1ccc(F)cc1,,,,0.0,,,,,
16325,COc1ccc(C2CC(c3ccc([N+](=O)[O-])cc3)=NC(=O)N2)cc1OC,,,,,,,,,0.0
4126,FC(F)(F)c1nnc2ccc(Sc3nnc(-c4ccco4)o3)nn12,,,,1.0,,,,,
4984,O=C(Cc1cc(=O)oc2cc(O)ccc12)NN=Cc1cccc([N+](=O)[O-])c1,,,,0.0,,,,,
17519,c1ccc(-c2nc3ccccc3c(-c3ccccc3)c2Sc2nc3ccccc3s2)cc1,,,,,,,,,0.0
13483,N#Cc1ccc(C2=CC(=O)c3ccccc3C2=O)cc1,,,,,,0.0,,,
17023,Cc1ccccc1NCC(O)COc1ccc2c(c1)OC1(CCCCC1)CC2=O,,,,,,,,,0.0
2228,O=C(NNC(=O)c1c[nH]c2c(C(F)(F)F)cccc2c1=O)Nc1cccc(Cl)c1,,,,0.0,,,,,
13873,Fc1cccc(-c2nc3ccccc3c3oc(NCc4ccccc4)nc23)c1,,,,,,,,,1.0
12272,O=C(O)c1cn(-c2ccc(F)cc2)c2cc(N3CCC(N4CCCCC4)CC3)c([N+](=O)[O-])cc2c1=O,,,,,,0.0,,,1.0
5629,CCCCCCCCc1c2[n+](cc3c(OS(=O)(=O)c4ccc(C#N)cc4)c(OC)ccc13)CCc1cc3c(cc1-2)OCO3,,,,0.0,,,,,
876,O=[N+]([O-])c1ccc(Cn2nnnc2SCc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])cc1,,0.0,,,,,,,
11904,O=C(NCCc1c[nH]c2ccccc12)c1c(-c2ccccc2)c2ccccc2[nH]c1=O,,,,0.0,,,,,
11347,CC1CCCN(Cn2nc(-c3ccccc3)oc2=O)C1,,,,0.0,,,,,
13889,CC(C)c1csc(-c2nnc(S(=O)(=O)Cc3ccc(Cl)cc3)o2)n1,,,,,,,,,0.0
12681,CCn1c(CN2CCN(c3ccccc3OC)CC2)nn(CN2CCN(c3cc4c(cc3F)c(=O)c(C(=O)O)cn4C3CC3)CC2)c1=S,,,,,,1.0,,,
8595,CC(=O)N1N=C(c2ccc3oc(-c4ccc(O)cc4)nc3c2)CC1c1cccs1,,,,1.0,,,,,
11959,CCN(CC)CC(O)CN(Cc1ccc(OC)cc1)Cc1cc2ccccc2nc1OC,,,,0.0,,,,,
2324,CCCCCCCCNC(=O)CCCCC1CCC(=O)O1,,,,0.0,,,,,
274,O=C(C=Cc1ccncc1)c1ccc(Nc2nc3ccccc3o2)cc1,0.0,,,0.0,,,0.0,,
4368,O=C(C1CCCCCC1)N1CCN(S(=O)(=O)c2cccc3cnccc23)CC1,,,,0.0,,,,,
3022,Cc1ccc(-c2cc(CC#N)[nH]n2)cc1,,,,0.0,,,,,
13245,Nn1c(COc2ccccc2C2=NOC(c3ccc(Cl)cc3Cl)C2)n[nH]c1=S,,,,,,1.0,,,
14829,C[S+]([O-])c1c(-c2ccc(Br)cc2)c[nH]c(=O)c1C#N,,,,,,,,,0.0
5718,O=[N+]([O-])c1ccc2[nH]c(O)c(N=NC(=S)Nc3ccc(Br)cc3)c2c1,,,,0.0,,,,,
12179,O=C1NC(=S)C(=Cc2cccc(Br)c2)S1,,,,,,0.0,,,
1048,Fc1ccc2c(ccn2CCC[P+](c2ccccc2)(c2ccccc2)c2ccccc2)c1,,,0.0,,,,,,
4345,CCCN(CCC)C(=O)C=CC(=O)c1ccccc1F,,,,1.0,,,,,
16613,COc1nc(-c2ccc(Cl)cc2)c(SC2CCCCC2)c(-c2ccc(N(C)C)cc2)c1C#N,,,,,,,,,0.0
15854,CCCCCCCCCCSc1nc(N)nc2c1ncn2Cc1ccccc1,,,,,,,,0.0,
6479,CCCCCC=CC(O)C(O)C=Cc1c(CC(O)C(C)(C)O)ccc(O)c1CO,,,,0.0,,,,,
6114,Cn1ccc(-c2cc(Nc3ccc4nc(-c5ccc(F)cc5)cc(N)c4c3)nc(N)n2)n1,,,,0.0,,,,,
258,CN(C)c1ccc(C=CC(=O)c2ccc(Nc3nc4ccccc4o3)cc2)cc1,0.0,,,0.0,,,0.0,,
11234,COc1cc2c(cc1C)[n+]([O-])nc(NC1CC3CCC1C3)[n+]2[O-],,,,0.0,0.0,,,,
7285,CC(=O)Nc1ccc(C)cc1C(F)(F)C(=O)NNc1ccccc1,,,,0.0,,,,,
7531,CCN1CCN(CCCOc2ccc(Nc3c(C(=O)O)cnc4ccccc34)cc2)CC1,,,,0.0,,,,,
795,COc1cc(Cl)ccc1C(=O)Nc1ccc(Cl)cc1OC(=O)c1ccc(Cl)cc1OC,,0.0,,,,,,,1.0
10466,Cc1ccccc1C1CC(c2ccccc2O)=NN1,,,,0.0,,0.0,,,
9857,CCOc1cc(C(c2cc3cc(Br)ccc3cc2OC)C(O)(CCN(C)C)c2cccc3occc23)cc(OC)n1,,,,1.0,1.0,,,,
12219,CC1(C)C=Cc2c(O)ccc(C3=Cc4ccc(O)cc4OC3)c2O1,,,,,,0.0,,,
2803,CCN(CC)c1ccc2cc(-c3nc4sc(S(=O)(=O)N=CN(C)C)nn4c3C=NO)c(=O)oc2c1,,,,0.0,,,,,
8708,CC1COc2c(N3CCNCC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,,,,1.0,,,,,
4534,COc1cccc(C(O)(CCN(C)C)C(c2cc3cc(Br)ccc3nc2OC)c2cc(C)sc2C)c1OC,,,,1.0,1.0,,,,
3822,O=C(NC1(c2ccccc2)CC1)c1ccc([N+](=O)[O-])o1,,,,1.0,,,,,
17721,O=C(NN=Cc1ccc(O)cc1)c1cccnc1,,,,,,,,,0.0
16291,CC1(C)OC2OC(Cn3cc(-n4c(O)ccc4O)nn3)C3OC(C)(C)OC3C2O1,,,,,,,,,1.0
2938,O=[N+]([O-])c1cn2c(n1)OCC(Oc1ccnc(-c3ccc(OC(F)(F)F)cc3)c1)C2,,,,1.0,1.0,,,,
14392,O=[N+]([O-])c1ccc(S(=O)(=NSC(F)(F)F)N2CCCCC2)cc1,,,,,,,0.0,,
15462,O=C(CSc1nnc(Cn2cnc3ccccc32)o1)Nc1ccccc1,,,,,,,,0.0,
2195,CCCCCCCC(=O)NCCCCC1CCC(=O)O1,,,,0.0,,,,,
4116,CC1(COc2ccc(-c3ccc(C(F)(F)F)cc3)cc2)Cn2cc([N+](=O)[O-])nc2O1,,,,1.0,0.0,,,,
12278,CC1CN(c2cc3c(cc2[N+](=O)[O-])c(=O)c(C(=O)O)cn3C2CC2)CC(C)O1,,,,,,1.0,,,1.0
3043,O=C1c2ccc(N3CCCCC3)cc2-n2c1nc1ncccc1c2=O,,,,0.0,,,,,
10134,CC(=O)NCC1OC(=O)N2Cc3cc(-c4ccc(C#N)nc4)ccc3OC12,,,,0.0,,,,,
1044,CCCCCCCCn1cc(CNC23CC4CC(CC(C4)C2)C3)c2c(OC)cccc21,,,0.0,,,,,,
12783,COc1cc(C=CC(=O)OCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC=O)ccc1O,,,,,,1.0,,,
10019,CCOC(=O)C1CCCN1P(=O)(CCCC(=O)N(C)O)N1CCCC1C(=O)OCC,,,,0.0,,,,,
9364,CC(CCc1ccc(O)cc1)N1CCC(CN2CCC(O)CC2)CC1,,,,0.0,,,,0.0,0.0
9490,COC(=O)NC(=O)c1ccsc1NC(=O)c1ccc(S(=O)(=O)N2CCCC2)cc1,,,,1.0,,,,,
13717,O=C(Nc1ccc(Br)cc1)c1cc(Cl)ccc1O,,,,,,,,,0.0
7083,O=c1ccc2ncc(F)cc2n1CCN1CCC(NC(=S)Nc2ccc([N+](=O)[O-])cc2)CC1,,,,1.0,,,,,
5900,CC1(c2ccc(S(C)(=O)=O)cc2)NC(=O)N(CC(=O)c2ccc(F)cc2F)C1=O,,,,1.0,,,,,
3291,COc1ccc(-c2nnc3sc(Cc4csc(C)n4)nn23)cc1,,,,1.0,,,,,
16932,N#CC1C(=N)OC2=C(CCCC2=Cc2ccccc2)C1c1ccccc1,,,,,,,,,0.0
4281,C#Cc1ccc2nc(OC)c(C(c3ccccc3)C(O)(CCN(C)C)c3cccc4ccccc34)cc2c1,,,,1.0,,,,,
17468,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(Cn4c(O)c(N=NC(=S)NOC)c5cc(Cl)ccc54)CC3)cc21,,,,,,,,,1.0
